model,runs,ok,failed,success_rate_percent,avg_wer,min_wer,max_wer,std_wer,avg_cer,min_cer,max_cer,std_cer,avg_accuracy_percent,min_accuracy_percent,max_accuracy_percent,std_accuracy_percent,avg_char_accuracy_percent,avg_load_seconds,min_load_seconds,max_load_seconds,avg_transcribe_seconds,min_transcribe_seconds,max_transcribe_seconds,avg_wall_seconds,avg_rtf,min_rtf,max_rtf,std_rtf,avg_x_realtime,realtime_capable_percent,peak_cpu_percent,avg_peak_cpu_percent,peak_ram_mb,avg_peak_ram_mb,peak_gpu_util_percent,avg_peak_gpu_util_percent,peak_vram_mb,avg_peak_vram_mb,model_vram_mb,backend,device
Whisper-Small-CT2,1,1,0,100.0,0.3681,0.3681,0.3681,0.0,0.1686,0.1686,0.1686,0.0,63.19,63.19,63.19,0.0,83.14,6.16,6.16,6.16,10.88,10.88,10.88,45.92,0.084,0.084,0.084,0.0,11.86,100.0,118.8,118.8,1390.6,1390.6,76.0,76.0,1340.2,1340.2,788.0,faster-whisper,cuda
Whisper-Large-v3-Turbo-CT2,1,1,0,100.0,0.316,0.316,0.316,0.0,0.1662,0.1662,0.1662,0.0,68.4,68.4,68.4,0.0,83.38,48.59,48.59,48.59,5.93,5.93,5.93,68.73,0.046,0.046,0.046,0.0,21.75,100.0,172.2,172.2,2404.4,2404.4,100.0,100.0,2492.2,2492.2,1940.0,faster-whisper,cuda
Arabic-Whisper-Turbo-FT-CT2,1,1,0,100.0,0.3924,0.3924,0.3924,0.0,0.1782,0.1782,0.1782,0.0,60.76,60.76,60.76,0.0,82.18,29.69,29.69,29.69,5.89,5.89,5.89,45.7,0.046,0.046,0.046,0.0,21.91,100.0,121.4,121.4,1749.3,1749.3,99.0,99.0,1692.2,1692.2,1140.0,faster-whisper,cuda
Arabic-Whisper-Large-v3-FT-CT2,1,1,0,100.0,0.3681,0.3681,0.3681,0.0,0.1794,0.1794,0.1794,0.0,63.19,63.19,63.19,0.0,82.06,35.17,35.17,35.17,17.43,17.43,17.43,59.2,0.135,0.135,0.135,0.0,7.4,100.0,119.0,119.0,2821.4,2821.4,100.0,100.0,2812.2,2812.2,2260.0,faster-whisper,cuda
QwenCleo-ASR,1,1,0,100.0,0.6632,0.6632,0.6632,0.0,0.5888,0.5888,0.5888,0.0,33.68,33.68,33.68,0.0,41.12,0.0,0.0,0.0,75.09,75.09,75.09,117.64,0.582,0.582,0.582,0.0,1.72,100.0,188.1,188.1,4888.8,4888.8,100.0,100.0,5870.2,5870.2,5318.0,qwencleo-asr,cuda
Whisper-Large-v3-CT2,1,1,0,100.0,0.2708,0.2708,0.2708,0.0,0.1132,0.1132,0.1132,0.0,72.92,72.92,72.92,0.0,88.68,37.64,37.64,37.64,17.1,17.1,17.1,59.87,0.133,0.133,0.133,0.0,7.54,100.0,194.1,194.1,3787.3,3787.3,100.0,100.0,4316.2,4316.2,3764.0,faster-whisper,cuda
Qwen3-ASR-0.6B,1,1,0,100.0,0.6007,0.6007,0.6007,0.0,0.401,0.401,0.401,0.0,39.93,39.93,39.93,0.0,59.9,21.39,21.39,21.39,24.65,24.65,24.65,64.47,0.191,0.191,0.191,0.0,5.23,100.0,191.7,191.7,3064.2,3064.2,100.0,100.0,3740.2,3740.2,3188.0,qwen-asr,cuda:0
Qwen3-ASR-1.7B,1,1,0,100.0,0.6528,0.6528,0.6528,0.0,0.5328,0.5328,0.5328,0.0,34.72,34.72,34.72,0.0,46.72,90.55,90.55,90.55,27.74,27.74,27.74,137.57,0.215,0.215,0.215,0.0,4.65,100.0,586.4,586.4,5483.1,5483.1,100.0,100.0,6044.2,6044.2,5492.0,qwen-asr,cuda:0
Audar-ASR-V1-Flash,1,1,0,100.0,0.5069,0.5069,0.5069,0.0,0.413,0.413,0.413,0.0,49.31,49.31,49.31,0.0,58.7,37.32,37.32,37.32,24.66,24.66,24.66,83.92,0.191,0.191,0.191,0.0,5.23,100.0,119.4,119.4,3242.3,3242.3,100.0,100.0,3480.2,3480.2,2928.0,qwen-asr,cuda:0
Voxtral-Mini-3B,1,1,0,100.0,0.2847,0.2847,0.2847,0.0,0.103,0.103,0.103,0.0,71.53,71.53,71.53,0.0,89.7,146.24,146.24,146.24,36.22,36.22,36.22,199.6,0.281,0.281,0.281,0.0,3.56,100.0,191.4,191.4,6382.0,6382.0,100.0,100.0,11154.2,11154.2,10602.0,transformers-voxtral,cuda
SeamlessM4T-v2-Large,1,1,0,100.0,0.4826,0.4826,0.4826,0.0,0.2896,0.2896,0.2896,0.0,51.74,51.74,51.74,0.0,71.04,133.44,133.44,133.44,17.39,17.39,17.39,173.38,0.135,0.135,0.135,0.0,7.42,100.0,193.6,193.6,7432.8,7432.8,100.0,100.0,4072.2,4072.2,3520.0,transformers-seamless,cuda
MMS-1B-all,1,1,0,100.0,0.5764,0.5764,0.5764,0.0,0.2697,0.2697,0.2697,0.0,42.36,42.36,42.36,0.0,73.03,56.16,56.16,56.16,5.64,5.64,5.64,83.73,0.044,0.044,0.044,0.0,22.88,100.0,185.9,185.9,5012.7,5012.7,100.0,100.0,5206.2,5206.2,4654.0,transformers-mms,cuda
