model,ok_runs,success_rate_percent,avg_accuracy_percent,avg_wer,avg_cer,avg_rtf,avg_x_realtime,realtime_capable_percent,avg_load_seconds,avg_transcribe_seconds,peak_vram_mb,peak_ram_mb,peak_cpu_percent,score_accuracy,score_speed,score_vram_efficiency,score_load,score_balanced,score_robot_realtime,rank_robot,rank_accuracy,rank_speed
Whisper-Large-v3-Turbo-CT2,1,100.0,68.4,0.316,0.1662,0.046,21.75,100.0,48.59,5.93,2492.2,2404.4,172.2,88.48,99.63,88.26,66.77,90.17,89.62,1,3,2
Whisper-Large-v3-CT2,1,100.0,72.92,0.2708,0.1132,0.133,7.54,100.0,37.64,17.1,4316.2,3787.3,194.1,100.0,83.46,69.68,74.26,85.57,87.92,2,1,5
Whisper-Small-CT2,1,100.0,63.19,0.3681,0.1686,0.084,11.86,100.0,6.16,10.88,1340.2,1390.6,118.8,75.2,92.57,100.0,95.79,88.3,86.19,3,4,4
Arabic-Whisper-Turbo-FT-CT2,1,100.0,60.76,0.3924,0.1782,0.046,21.91,100.0,29.69,5.89,1692.2,1749.3,121.4,69.01,99.63,96.41,79.7,86.28,83.38,4,6,3
Arabic-Whisper-Large-v3-FT-CT2,1,100.0,63.19,0.3681,0.1794,0.135,7.4,100.0,35.17,17.43,2812.2,2821.4,119.0,75.2,83.09,85.0,75.95,80.0,79.11,5,5,6
Voxtral-Mini-3B,1,100.0,71.53,0.2847,0.103,0.281,3.56,100.0,146.24,36.22,11154.2,6382.0,191.4,96.46,55.95,0.0,0.0,53.34,60.19,6,2,11
Audar-ASR-V1-Flash,1,100.0,49.31,0.5069,0.413,0.191,5.23,100.0,37.32,24.66,3480.2,3242.3,119.4,39.83,72.68,78.19,74.48,62.46,58.9,7,8,8
SeamlessM4T-v2-Large,1,100.0,51.74,0.4826,0.2896,0.135,7.42,100.0,133.44,17.39,4072.2,7432.8,193.6,46.02,83.09,72.16,8.75,60.5,57.34,8,7,7
MMS-1B-all,1,100.0,42.36,0.5764,0.2697,0.044,22.88,100.0,56.16,5.64,5206.2,5012.7,185.9,22.12,100.0,60.61,61.6,61.02,55.21,9,9,1
Qwen3-ASR-0.6B,1,100.0,39.93,0.6007,0.401,0.191,5.23,100.0,21.39,24.65,3740.2,3064.2,191.7,15.93,72.68,75.55,85.37,54.66,48.84,10,10,9
Qwen3-ASR-1.7B,1,100.0,34.72,0.6528,0.5328,0.215,4.65,100.0,90.55,27.74,6044.2,5483.1,586.4,2.65,68.22,52.07,38.08,39.03,33.28,11,11,10
QwenCleo-ASR,1,100.0,33.68,0.6632,0.5888,0.582,1.72,100.0,0.0,75.09,5870.2,4888.8,188.1,0.0,0.0,53.84,100.0,20.77,18.08,12,12,12
