model,category,runs,ok,success_rate_percent,avg_first_token_seconds,avg_generate_seconds,avg_tokens_per_second,avg_completion_tokens,avg_response_chars
Qwen3-4B-Instruct-2507,egyptian_arabic,3,3,100.0,0.559,4.254,13.38,59.3,159.7
Qwen3-4B-Instruct-2507,code_switching,2,2,100.0,0.595,8.432,14.03,120.5,263.0
Qwen3-4B-Instruct-2507,asr_noise,4,4,100.0,0.58,1.827,12.3,23.5,53.0
Qwen3-4B-Instruct-2507,instruction_following,3,3,100.0,0.642,5.041,12.72,77.7,169.3
Qwen3-4B-Instruct-2507,multi_turn_memory,3,3,100.0,0.719,1.087,5.19,5.7,13.0
Qwen3-4B-Instruct-2507,tool_calling,4,4,100.0,2.22,4.116,7.77,32.2,92.0
Qwen3-4B-Instruct-2507,structured_output,1,1,100.0,0.789,3.688,7.32,27.0,54.0
Qwen3-8B,egyptian_arabic,3,3,100.0,1.198,4.463,6.19,31.3,92.7
Qwen3-8B,code_switching,2,2,100.0,1.224,5.441,7.33,40.0,115.5
Qwen3-8B,asr_noise,4,4,100.0,1.24,3.864,6.07,23.8,52.5
Qwen3-8B,instruction_following,3,3,100.0,1.366,3.711,5.84,23.0,52.7
Qwen3-8B,multi_turn_memory,3,3,100.0,1.616,2.207,2.18,5.0,9.7
Qwen3-8B,tool_calling,4,4,100.0,4.311,7.705,4.03,31.8,80.0
Qwen3-8B,structured_output,1,1,100.0,1.653,4.374,5.49,24.0,48.0
Gemma3-4B-IT,general,1,0,0.0,,,,,
Gemma3-12B-IT,general,1,0,0.0,,,,,
ALLaM-7B,egyptian_arabic,3,3,100.0,1.295,3.22,8.15,28.7,137.3
ALLaM-7B,code_switching,2,2,100.0,1.32,3.671,9.5,35.0,144.5
ALLaM-7B,asr_noise,4,4,100.0,1.326,2.012,4.48,9.5,35.0
ALLaM-7B,instruction_following,3,3,100.0,1.35,2.715,6.98,19.7,69.7
ALLaM-7B,multi_turn_memory,3,3,100.0,1.387,1.696,2.13,3.7,12.0
ALLaM-7B,tool_calling,4,4,100.0,6.989,10.951,3.89,45.2,107.2
ALLaM-7B,structured_output,1,1,100.0,1.456,3.795,8.17,31.0,63.0
Jais-2-8B,general,1,0,0.0,,,,,
Nile-Chat-4B,egyptian_arabic,3,3,100.0,0.504,8.204,12.19,103.7,292.0
Nile-Chat-4B,code_switching,2,2,100.0,0.529,18.216,13.54,246.5,755.5
Nile-Chat-4B,asr_noise,4,4,100.0,0.551,13.806,11.8,176.2,462.2
Nile-Chat-4B,instruction_following,3,3,100.0,0.61,13.119,13.21,179.0,448.0
Nile-Chat-4B,multi_turn_memory,3,3,100.0,0.721,18.373,13.22,243.0,666.7
Nile-Chat-4B,tool_calling,4,4,100.0,2.421,8.09,6.99,76.8,207.5
Nile-Chat-4B,structured_output,1,1,100.0,0.747,18.514,13.12,243.0,646.0
